Date	Time	At	Opponent	Location	Tournament	Result
Aug 31 (Sat)	7:30 PM	Home	Fresno State	Ann Arbor, Mich.		W 30-10
Sep 7 (Sat)	Noon	Home	#3 Texas	Ann Arbor, Mich.		L 12-31
Sep 14 (Sat)	Noon	Home	Arkansas State	Ann Arbor, Mich.		W 28-18
Sep 21 (Sat)	3:30 PM	Home	#11 USC	Ann Arbor, Mich.		W 27-24
Sep 28 (Sat)	Noon	Home	Minnesota	Ann Arbor, Mich.		-
Oct 5 (Sat)	TBA	Away	Washington	Seattle, Wash.		-
Oct 19 (Sat)	TBA	Away	Illinois	Champaign, Ill.		-
Oct 26 (Sat)	TBA	Home	Michigan State	Ann Arbor, Mich.		-
Nov 2 (Sat)	TBA	Home	Oregon	Ann Arbor, Mich.		-
Nov 9 (Sat)	TBA	Away	Indiana	Bloomington, Ind.		-
Nov 23 (Sat)	TBA	Home	Northwestern	Ann Arbor, Mich.		-
Nov 30 (Sat)	Noon	Away	Ohio State	Columbus, Ohio		-
Dec 7 (Sat)	8:00 PM	Neutral	Big Ten Championship Game	Indianapolis, Ind.		-

